Fecha,Producto,Categoria,Precio,Cantidad,Descuento,MetodoPago,Ciudad,Total
2026-02-27,Mouse,Accesorios,154902.0,5.0,5,Transferencia,Medellín,735784.5
2026-01-09,Mouse,Accesorios,2888283.0,2.0,15,Efectivo,Bogotá,4910081.1
2026-07-03,Monitor,Pantallas,1025850.0,1.0,5,Tarjeta,Bucaramanga,974557.5
2026-07-14,Monitor,Pantallas,1934119.0,5.0,0,Transferencia,Medellín,9670595.0
2026-02-25,Audífonos,Audio,1477114.0,5.0,5,Efectivo,Cali,7016291.5
2026-08-05,Mouse,Accesorios,1643530.0,2.0,10,Transferencia,Cali,2958354.0
2026-05-18,Tablet,Dispositivos,3435341.0,1.0,15,Tarjeta,Bogotá,2920039.85
2026-05-28,Mouse,Accesorios,2365426.0,5.0,10,Transferencia,Medellín,10644417.0
2026-01-21,Mouse,Accesorios,2088249.62,4.0,10,Efectivo,Medellín,871923.6
2026-02-11,Audífonos,Audio,1215905.0,8.0,10,Tarjeta,Cali,8754516.0
2026-06-05,Monitor,Pantallas,2860918.0,5.0,0,Transferencia,Medellín,14304590.0
2026-03-11,Monitor,Pantallas,735359.0,8.0,15,Efectivo,Bucaramanga,5000441.2
2026-07-30,Celular,Dispositivos,3585177.0,1.0,5,Tarjeta,Bogotá,3405918.15
2026-08-22,Audífonos,Audio,1172986.0,2.0,5,Transferencia,Bucaramanga,2228673.4
2026-08-15,Celular,Dispositivos,941820.0,8.0,15,Efectivo,Barranquilla,6404376.0
2026-07-11,Mouse,Dispositivos,635652.0,4.0,10,Tarjeta,Bucaramanga,2288347.2
2026-05-11,Audífonos,Audio,1568323.0,4.0,5,Efectivo,Barranquilla,5959627.4
2026-06-10,Laptop,Computadores,3661727.0,2.0,5,Transferencia,Medellín,6957281.3
2026-04-08,Audífonos,Audio,2551520.0,2.0,15,Tarjeta,Bucaramanga,4337584.0
2026-06-24,Tablet,Dispositivos,2370397.0,1.0,0,Tarjeta,Bucaramanga,2370397.0
2026-02-10,Celular,Dispositivos,517883.0,5.0,15,Efectivo,Barranquilla,2201002.75
2026-08-11,Tablet,Dispositivos,2149610.0,3.0,0,Transferencia,Cali,6448830.0
2026-05-19,Monitor,Pantallas,691054.0,6.0,5,Efectivo,Bucaramanga,3939007.8
2026-08-26,Celular,Dispositivos,2099360.0,1.0,0,Tarjeta,Cali,2099360.0
2026-01-22,Monitor,Pantallas,292955.0,4.0,0,Efectivo,Barranquilla,1171820.0
2026-03-09,Teclado,Accesorios,588512.0,4.0,5,Transferencia,Bucaramanga,4472691.2
2026-04-13,Audífonos,Audio,938346.0,4.0,10,Tarjeta,Cali,3378045.6
2026-01-17,Impresora,Oficina,557528.0,4.0,5,Efectivo,Cali,2118606.4
2026-01-19,Monitor,Pantallas,2518096.0,4.0,0,Efectivo,Bogotá,10072384.0
2026-01-19,Mouse,Accesorios,3847606.0,1.0,10,Efectivo,Bucaramanga,3462845.4
2026-05-19,Tablet,Dispositivos,2855896.0,8.0,5,Transferencia,Medellín,21704809.6
2026-02-18,Impresora,Oficina,1069204.0,8.0,15,Efectivo,Bogotá,7270587.2
2026-04-30,Audífonos,Audio,1536031.0,7.0,15,Transferencia,Bogotá,9139384.45
2026-07-24,Mouse,Accesorios,304227.0,7.0,10,Efectivo,Bogotá,1916630.1
2026-04-19,Monitor,Pantallas,847793.0,8.0,5,Tarjeta,Medellín,6443226.8
2026-07-26,Laptop,Oficina,1097764.0,2.0,15,Efectivo,Bucaramanga,1866198.8
2026-08-26,Laptop,Computadores,2785293.0,1.0,0,Efectivo,Medellín,2785293.0
2026-08-10,Audífonos,Audio,2086926.0,8.0,5,Efectivo,Barranquilla,15860637.6
2026-03-09,Teclado,Accesorios,1639528.0,1.0,15,Tarjeta,Barranquilla,1393598.8
2026-02-18,Audífonos,Audio,2971716.0,8.0,5,Efectivo,Cali,22585041.6
2026-01-15,Laptop,Computadores,2479258.0,1.0,10,Efectivo,Bogotá,2231332.2
2026-09-03,Impresora,Oficina,2159107.0,3.0,0,Efectivo,Bucaramanga,6477321.0
2026-04-14,Teclado,Accesorios,337399.0,2.0,5,Transferencia,Bogotá,641058.1
2026-04-18,Monitor,Pantallas,2478162.0,1.0,0,Transferencia,Bucaramanga,2478162.0
2026-06-21,Celular,Dispositivos,3970442.0,5.0,5,Efectivo,Cali,18859599.5
2026-04-28,Tablet,Dispositivos,1710046.0,3.0,10,Efectivo,Cali,4617124.2
2026-05-18,Laptop,Computadores,1972188.0,2.0,0,Transferencia,Medellín,3944376.0
2026-08-14,Tablet,Dispositivos,605563.0,6.0,0,Tarjeta,Medellín,3633378.0
2026-06-06,Tablet,Dispositivos,711638.0,8.0,10,Efectivo,Bucaramanga,5123793.6
2026-03-09,Tablet,Dispositivos,3958068.0,2.0,5,Efectivo,Bogotá,7520329.2
2026-07-03,Teclado,Accesorios,1192311.0,5.0,5,Efectivo,Cali,5663477.25
2026-08-20,Tablet,Dispositivos,2169839.0,8.0,10,Efectivo,Bogotá,15622840.8
2026-01-01,Audífonos,Audio,3528538.0,5.0,0,Efectivo,Cali,17642690.0
2026-05-24,Tablet,Dispositivos,727723.0,8.0,15,Efectivo,Bogotá,4948516.4
2026-08-02,Mouse,Accesorios,3754016.0,3.0,0,Transferencia,Cali,11262048.0
2026-03-20,Teclado,Accesorios,1852656.0,3.0,0,Efectivo,Cali,5557968.0
2026-04-01,Celular,Dispositivos,931124.0,4.0,0,Tarjeta,Bucaramanga,3724496.0
2026-09-07,Teclado,Accesorios,3932934.0,4.0,5,Tarjeta,Medellín,14945149.2
2026-07-25,Laptop,Computadores,802293.0,6.0,15,Tarjeta,Medellín,4091694.3
2026-08-12,Teclado,Accesorios,3352488.0,2.0,15,Tarjeta,Bogotá,5699229.6
2026-03-20,Tablet,Pantallas,887069.0,8.0,10,Efectivo,Medellín,6386896.8
2026-03-26,Laptop,Computadores,2818379.0,4.0,15,Efectivo,Cali,9582488.6
